t,-0.049771,re,-25535943.000000,im,0.000000,ab,25535943.000000,ar,3.141593,D,-8.396339,abl,7.407152,rel,0.000000
t,-0.049750,re,-28400354.000000,im,-0.000000,ab,28400354.000000,ar,-3.141593,D,-8.392825,abl,7.453324,rel,0.000000
t,-0.049729,re,-27763948.000000,im,0.000000,ab,27763948.000000,ar,3.141593,D,-8.389310,abl,7.443481,rel,0.000000
t,-0.049708,re,-24394127.000000,im,0.000000,ab,24394127.000000,ar,3.141593,D,-8.385796,abl,7.387285,rel,0.000000
t,-0.049687,re,-21217884.000000,im,-0.000000,ab,21217884.000000,ar,-3.141593,D,-8.382281,abl,7.326702,rel,0.000000
t,-0.049667,re,-20508122.000000,im,0.000000,ab,20508122.000000,ar,3.141593,D,-8.378767,abl,7.311926,rel,0.000000
t,-0.049646,re,-22703031.000000,im,-0.000000,ab,22703031.000000,ar,-3.141593,D,-8.375252,abl,7.356084,rel,0.000000
t,-0.049625,re,-25790041.000000,im,0.000000,ab,25790041.000000,ar,3.141593,D,-8.371737,abl,7.411452,rel,0.000000
t,-0.049604,re,-27665836.000000,im,0.000000,ab,27665836.000000,ar,3.141593,D,-8.368223,abl,7.441944,rel,0.000000
t,-0.049583,re,-26758055.000000,im,-0.000000,ab,26758055.000000,ar,-3.141593,D,-8.364708,abl,7.427454,rel,0.000000
t,-0.049562,re,-23199048.000000,im,0.000000,ab,23199048.000000,ar,3.141593,D,-8.361194,abl,7.365470,rel,0.000000
t,-0.049542,re,-19956040.000000,im,0.000000,ab,19956040.000000,ar,3.141593,D,-8.357679,abl,7.300074,rel,0.000000
t,-0.049521,re,-19069051.000000,im,0.000000,ab,19069051.000000,ar,3.141593,D,-8.354164,abl,7.280329,rel,0.000000
t,-0.049500,re,-21424047.000000,im,0.000000,ab,21424047.000000,ar,3.141593,D,-8.350650,abl,7.330901,rel,0.000000
t,-0.049479,re,-25513982.000000,im,0.000000,ab,25513982.000000,ar,3.141593,D,-8.347135,abl,7.406778,rel,0.000000
t,-0.049458,re,-28770688.000000,im,0.000000,ab,28770688.000000,ar,3.141593,D,-8.343621,abl,7.458950,rel,0.000000
t,-0.049437,re,-28645773.000000,im,0.000000,ab,28645773.000000,ar,3.141593,D,-8.340106,abl,7.457061,rel,0.000000
t,-0.049417,re,-25127160.000000,im,-0.000000,ab,25127160.000000,ar,-3.141593,D,-8.336592,abl,7.400143,rel,0.000000
t,-0.049396,re,-20961561.999999,im,-0.000000,ab,20961561.999999,ar,-3.141593,D,-8.333077,abl,7.321423,rel,0.000000
t,-0.049375,re,-19138533.000000,im,-0.000000,ab,19138533.000000,ar,-3.141593,D,-8.329562,abl,7.281909,rel,0.000000
t,-0.049354,re,-20403196.000000,im,0.000000,ab,20403196.000000,ar,3.141593,D,-8.326048,abl,7.309698,rel,0.000000
t,-0.049333,re,-23684803.000000,im,0.000000,ab,23684803.000000,ar,3.141593,D,-8.322533,abl,7.374470,rel,0.000000
t,-0.049312,re,-25707044.000000,im,0.000000,ab,25707044.000000,ar,3.141593,D,-8.319019,abl,7.410052,rel,0.000000
t,-0.049292,re,-25679039.000000,im,0.000001,ab,25679039.000000,ar,3.141593,D,-8.315504,abl,7.409579,rel,0.000000
t,-0.049271,re,-24192968.000000,im,0.000001,ab,24192968.000000,ar,3.141593,D,-8.311989,abl,7.383688,rel,0.000000
t,-0.049250,re,-22911622.000000,im,0.000000,ab,22911622.000000,ar,3.141593,D,-8.308475,abl,7.360056,rel,0.000000
t,-0.049229,re,-22988428.000000,im,-0.000000,ab,22988428.000000,ar,-3.141593,D,-8.304960,abl,7.361509,rel,0.000000
t,-0.049208,re,-23651092.000000,im,-0.000000,ab,23651092.000000,ar,-3.141593,D,-8.301446,abl,7.373851,rel,0.000000
t,-0.049187,re,-24061424.000000,im,-0.000000,ab,24061424.000000,ar,-3.141593,D,-8.297931,abl,7.381321,rel,0.000000
t,-0.049167,re,-23859009.000000,im,-0.000000,ab,23859009.000000,ar,-3.141593,D,-8.294417,abl,7.377653,rel,0.000000
t,-0.049146,re,-23584761.000000,im,0.000000,ab,23584761.000000,ar,3.141593,D,-8.290902,abl,7.372631,rel,0.000000
t,-0.049125,re,-23693070.000000,im,0.000000,ab,23693070.000000,ar,3.141593,D,-8.287387,abl,7.374621,rel,0.000000
t,-0.049104,re,-24123957.000000,im,0.000001,ab,24123957.000000,ar,3.141593,D,-8.283873,abl,7.382449,rel,0.000000
t,-0.049083,re,-23771968.000000,im,-0.000000,ab,23771968.000000,ar,-3.141593,D,-8.280358,abl,7.376065,rel,0.000000
t,-0.049062,re,-22276904.000000,im,-0.000000,ab,22276904.000000,ar,-3.141593,D,-8.276844,abl,7.347855,rel,0.000000
t,-0.049042,re,-20897374.000000,im,-0.000000,ab,20897374.000000,ar,-3.141593,D,-8.273329,abl,7.320092,rel,0.000000
t,-0.049021,re,-21729070.000000,im,-0.000000,ab,21729070.000000,ar,-3.141593,D,-8.269814,abl,7.337041,rel,0.000000
t,-0.049000,re,-26466808.000000,im,-0.000000,ab,26466808.000000,ar,-3.141593,D,-8.266300,abl,7.422701,rel,0.000000
t,-0.048979,re,-32010253.000000,im,0.000000,ab,32010253.000000,ar,3.141593,D,-8.262785,abl,7.505289,rel,0.000000
t,-0.048958,re,-33433919.000000,im,0.000000,ab,33433919.000000,ar,3.141593,D,-8.259271,abl,7.524187,rel,0.000000
t,-0.048938,re,-28723525.000000,im,0.000000,ab,28723525.000000,ar,3.141593,D,-8.255756,abl,7.458238,rel,0.000000
t,-0.048917,re,-20602498.000000,im,-0.000000,ab,20602498.000000,ar,-3.141593,D,-8.252242,abl,7.313920,rel,0.000000
t,-0.048896,re,-14782331.000000,im,-0.000000,ab,14782331.000000,ar,-3.141593,D,-8.248727,abl,7.169743,rel,0.000000
t,-0.048875,re,-15996153.000000,im,-0.000000,ab,15996153.000000,ar,-3.141593,D,-8.245212,abl,7.204015,rel,0.000000
t,-0.048854,re,-22929141.000000,im,-0.000000,ab,22929141.000000,ar,-3.141593,D,-8.241698,abl,7.360388,rel,0.000000
t,-0.048833,re,-30397873.000000,im,-0.000000,ab,30397873.000000,ar,-3.141593,D,-8.238183,abl,7.482843,rel,0.000000
t,-0.048813,re,-33084117.000000,im,-0.000000,ab,33084117.000000,ar,-3.141593,D,-8.234669,abl,7.519619,rel,0.000000
t,-0.048792,re,-29610773.000000,im,0.000000,ab,29610773.000000,ar,3.141593,D,-8.231154,abl,7.471450,rel,0.000000
t,-0.048771,re,-23231421.000000,im,0.000000,ab,23231421.000000,ar,3.141593,D,-8.227639,abl,7.366076,rel,0.000000
t,-0.048750,re,-19413735.000000,im,0.000000,ab,19413735.000000,ar,3.141593,D,-8.224125,abl,7.288109,rel,0.000000
t,-0.048729,re,-21058845.999999,im,0.000000,ab,21058845.999999,ar,3.141593,D,-8.220610,abl,7.323434,rel,0.000000
t,-0.048708,re,-25769060.999999,im,-0.000000,ab,25769060.999999,ar,-3.141593,D,-8.217096,abl,7.411099,rel,0.000000
t,-0.048688,re,-28750493.000000,im,-0.000000,ab,28750493.000000,ar,-3.141593,D,-8.213581,abl,7.458645,rel,0.000000
t,-0.048667,re,-27875128.000001,im,-0.000000,ab,27875128.000001,ar,-3.141593,D,-8.210067,abl,7.445217,rel,0.000000
t,-0.048646,re,-24197989.000000,im,-0.000000,ab,24197989.000000,ar,-3.141593,D,-8.206552,abl,7.383779,rel,0.000000
t,-0.048625,re,-21165390.000000,im,0.000000,ab,21165390.000000,ar,3.141593,D,-8.203037,abl,7.325626,rel,0.000000
t,-0.048604,re,-21089012.000000,im,-0.000000,ab,21089012.000000,ar,-3.141593,D,-8.199523,abl,7.324057,rel,0.000000
t,-0.048583,re,-23274186.000000,im,0.000000,ab,23274186.000000,ar,3.141593,D,-8.196008,abl,7.366875,rel,0.000000
t,-0.048563,re,-25002144.999999,im,-0.000000,ab,25002144.999999,ar,-3.141593,D,-8.192494,abl,7.397977,rel,0.000000
t,-0.048542,re,-24913485.000000,im,0.000000,ab,24913485.000000,ar,3.141593,D,-8.188979,abl,7.396434,rel,0.000000
t,-0.048521,re,-22700743.000000,im,0.000000,ab,22700743.000000,ar,3.141593,D,-8.185464,abl,7.356040,rel,0.000000
t,-0.048500,re,-20719939.000000,im,-0.000000,ab,20719939.000000,ar,-3.141593,D,-8.181950,abl,7.316389,rel,0.000000
t,-0.048479,re,-21912826.000000,im,0.000000,ab,21912826.000000,ar,3.141593,D,-8.178435,abl,7.340698,rel,0.000000
t,-0.048458,re,-26351643.000000,im,-0.000000,ab,26351643.000000,ar,-3.141593,D,-8.174921,abl,7.420808,rel,0.000000
t,-0.048438,re,-30032061.000000,im,-0.000000,ab,30032061.000000,ar,-3.141593,D,-8.171406,abl,7.477585,rel,0.000000
t,-0.048417,re,-28359339.000000,im,0.000000,ab,28359339.000000,ar,3.141593,D,-8.167892,abl,7.452696,rel,0.000000
t,-0.048396,re,-21144220.000000,im,-0.000000,ab,21144220.000000,ar,-3.141593,D,-8.164377,abl,7.325191,rel,0.000000
t,-0.048375,re,-13383173.000000,im,0.000000,ab,13383173.000000,ar,3.141593,D,-8.160862,abl,7.126559,rel,0.000000
t,-0.048354,re,-11569754.000000,im,0.000000,ab,11569754.000000,ar,3.141593,D,-8.157348,abl,7.063324,rel,0.000000
t,-0.048333,re,-17184641.000000,im,0.000000,ab,17184641.000000,ar,3.141593,D,-8.153833,abl,7.235140,rel,0.000000
t,-0.048313,re,-27360144.000000,im,0.000000,ab,27360144.000000,ar,3.141593,D,-8.150319,abl,7.437118,rel,0.000000
t,-0.048292,re,-35014194.000000,im,-0.000000,ab,35014194.000000,ar,-3.141593,D,-8.146804,abl,7.544244,rel,0.000000
t,-0.048271,re,-34081991.000000,im,-0.000000,ab,34081991.000000,ar,-3.141593,D,-8.143289,abl,7.532525,rel,0.000000
t,-0.048250,re,-25248424.000000,im,0.000000,ab,25248424.000000,ar,3.141593,D,-8.139775,abl,7.402234,rel,0.000000
t,-0.048229,re,-15691470.000000,im,0.000000,ab,15691470.000000,ar,3.141593,D,-8.136260,abl,7.195664,rel,0.000000
t,-0.048208,re,-11422451.000000,im,-0.000000,ab,11422451.000000,ar,-3.141593,D,-8.132746,abl,7.057759,rel,0.000000
t,-0.048188,re,-14354752.000000,im,0.000000,ab,14354752.000000,ar,3.141593,D,-8.129231,abl,7.156995,rel,0.000000
t,-0.048167,re,-21375534.000000,im,0.000000,ab,21375534.000000,ar,3.141593,D,-8.125717,abl,7.329917,rel,0.000000
t,-0.048146,re,-25356657.000000,im,-0.000000,ab,25356657.000000,ar,-3.141593,D,-8.122202,abl,7.404092,rel,0.000000
t,-0.048125,re,-23216070.000000,im,-0.000000,ab,23216070.000000,ar,-3.141593,D,-8.118687,abl,7.365789,rel,0.000000
t,-0.048104,re,-18223605.999999,im,0.000000,ab,18223605.999999,ar,3.141593,D,-8.115173,abl,7.260634,rel,0.000000
t,-0.048083,re,-16231897.999999,im,-0.000000,ab,16231897.999999,ar,-3.141593,D,-8.111658,abl,7.210370,rel,0.000000
t,-0.048063,re,-19997986.000000,im,0.000000,ab,19997986.000000,ar,3.141593,D,-8.108144,abl,7.300986,rel,0.000000
t,-0.048042,re,-26867206.000000,im,0.000000,ab,26867206.000000,ar,3.141593,D,-8.104629,abl,7.429222,rel,0.000000
t,-0.048021,re,-30060321.000000,im,0.000001,ab,30060321.000000,ar,3.141593,D,-8.101114,abl,7.477993,rel,0.000000
t,-0.048000,re,-26011983.000000,im,0.000000,ab,26011983.000000,ar,3.141593,D,-8.097600,abl,7.415174,rel,0.000000
t,-0.047979,re,-16536755.000000,im,-0.000001,ab,16536755.000000,ar,-3.141593,D,-8.094085,abl,7.218450,rel,0.000000
t,-0.047958,re,-8053534.000000,im,-0.000000,ab,8053534.000000,ar,-3.141593,D,-8.090571,abl,6.905986,rel,0.000000
t,-0.047938,re,-6877576.000000,im,-0.000000,ab,6877576.000000,ar,-3.141593,D,-8.087056,abl,6.837436,rel,0.000000
t,-0.047917,re,-14164143.000000,im,-0.000000,ab,14164143.000000,ar,-3.141593,D,-8.083542,abl,7.151190,rel,0.000000
t,-0.047896,re,-24852819.000000,im,0.000000,ab,24852819.000000,ar,3.141593,D,-8.080027,abl,7.395376,rel,0.000000
t,-0.047875,re,-32069232.000000,im,0.000000,ab,32069232.000000,ar,3.141593,D,-8.076512,abl,7.506088,rel,0.000000
t,-0.047854,re,-30415356.000000,im,-0.000000,ab,30415356.000000,ar,-3.141593,D,-8.072998,abl,7.483092,rel,0.000000
t,-0.047833,re,-21615636.000000,im,-0.000000,ab,21615636.000000,ar,-3.141593,D,-8.069483,abl,7.334768,rel,0.000000
t,-0.047813,re,-11547769.000000,im,-0.000000,ab,11547769.000000,ar,-3.141593,D,-8.065969,abl,7.062498,rel,0.000000
t,-0.047792,re,-7853166.000000,im,-0.000000,ab,7853166.000000,ar,-3.141593,D,-8.062454,abl,6.895045,rel,0.000000
t,-0.047771,re,-12377438.000000,im,-0.000000,ab,12377438.000000,ar,-3.141593,D,-8.058939,abl,7.092631,rel,0.000000
t,-0.047750,re,-21949990.000000,im,0.000000,ab,21949990.000000,ar,3.141593,D,-8.055425,abl,7.341434,rel,0.000000
t,-0.047729,re,-29626213.000000,im,0.000000,ab,29626213.000000,ar,3.141593,D,-8.051910,abl,7.471676,rel,0.000000
t,-0.047708,re,-29391857.000000,im,0.000000,ab,29391857.000000,ar,3.141593,D,-8.048396,abl,7.468227,rel,0.000000
t,-0.047688,re,-21060312.000000,im,-0.000000,ab,21060312.000000,ar,-3.141593,D,-8.044881,abl,7.323465,rel,0.000000
t,-0.047667,re,-10496384.000000,im,0.000000,ab,10496384.000000,ar,3.141593,D,-8.041367,abl,7.021040,rel,0.000000
t,-0.047646,re,-5140959.000000,im,0.000000,ab,5140959.000000,ar,3.141593,D,-8.037852,abl,6.711044,rel,0.000000
t,-0.047625,re,-8063721.000000,im,0.000000,ab,8063721.000000,ar,3.141593,D,-8.034337,abl,6.906535,rel,0.000000
t,-0.047604,re,-17666266.000000,im,0.000000,ab,17666266.000000,ar,3.141593,D,-8.030823,abl,7.247145,rel,0.000000
t,-0.047583,re,-27226163.000000,im,0.000000,ab,27226163.000000,ar,3.141593,D,-8.027308,abl,7.434986,rel,0.000000
t,-0.047563,re,-30615477.000000,im,-0.000000,ab,30615477.000000,ar,-3.141593,D,-8.023794,abl,7.485941,rel,0.000000
t,-0.047542,re,-26270153.000000,im,-0.000000,ab,26270153.000000,ar,-3.141593,D,-8.020279,abl,7.419463,rel,0.000000
t,-0.047521,re,-18171277.000000,im,-0.000000,ab,18171277.000000,ar,-3.141593,D,-8.016764,abl,7.259386,rel,0.000000
t,-0.047500,re,-12062220.000000,im,-0.000000,ab,12062220.000000,ar,-3.141593,D,-8.013250,abl,7.081428,rel,0.000000
t,-0.047479,re,-10436025.000000,im,0.000000,ab,10436025.000000,ar,3.141593,D,-8.009735,abl,7.018535,rel,0.000000
t,-0.047458,re,-11619721.000000,im,0.000000,ab,11619721.000000,ar,3.141593,D,-8.006221,abl,7.065196,rel,0.000000
t,-0.047438,re,-12941322.999999,im,0.000000,ab,12941322.999999,ar,3.141593,D,-8.002706,abl,7.111979,rel,0.000000
t,-0.047417,re,-14084993.000000,im,0.000000,ab,14084993.000000,ar,3.141593,D,-7.999192,abl,7.148757,rel,0.000000
t,-0.047396,re,-16685278.999999,im,-0.000000,ab,16685278.999999,ar,-3.141593,D,-7.995677,abl,7.222333,rel,0.000000
