 s,3381, t,0.00002, Cor,35749993090, PosCor,35749993090, NegCor,0, CorPosLog,35.057224, CorNegLog,0.000000, D,0.003544,
 s,3382, t,0.00004, Cor,-12942978207, PosCor,0, NegCor,12942978207, CorPosLog,0.000000, CorNegLog,33.591450, D,0.007089,
 s,3383, t,0.00006, Cor,-52393668451, PosCor,0, NegCor,52393668451, CorPosLog,0.000000, CorNegLog,35.608673, D,0.010634,
 s,3384, t,0.00008, Cor,-55125981327, PosCor,0, NegCor,55125981327, CorPosLog,0.000000, CorNegLog,35.682014, D,0.014179,
 s,3385, t,0.00010, Cor,-20749939705, PosCor,0, NegCor,20749939705, CorPosLog,0.000000, CorNegLog,34.272388, D,0.017724,
 s,3386, t,0.00012, Cor,25245947231, PosCor,25245947231, NegCor,0, CorPosLog,34.555332, CorNegLog,0.000000, D,0.021268,
 s,3387, t,0.00015, Cor,51204678396, PosCor,51204678396, NegCor,0, CorPosLog,35.575558, CorNegLog,0.000000, D,0.024813,
 s,3388, t,0.00017, Cor,41944656245, PosCor,41944656245, NegCor,0, CorPosLog,35.287769, CorNegLog,0.000000, D,0.028358,
 s,3389, t,0.00019, Cor,7781719957, PosCor,7781719957, NegCor,0, CorPosLog,32.857441, CorNegLog,0.000000, D,0.031903,
 s,3390, t,0.00021, Cor,-25444399412, PosCor,0, NegCor,25444399412, CorPosLog,0.000000, CorNegLog,34.566628, D,0.035447,
 s,3391, t,0.00023, Cor,-36389418306, PosCor,0, NegCor,36389418306, CorPosLog,0.000000, CorNegLog,35.082798, D,0.038992,
 s,3392, t,0.00025, Cor,-22385695451, PosCor,0, NegCor,22385695451, CorPosLog,0.000000, CorNegLog,34.381859, D,0.042537,
 s,3393, t,0.00027, Cor,1482557330, PosCor,1482557330, NegCor,0, CorPosLog,30.465441, CorNegLog,0.000000, D,0.046082,
 s,3394, t,0.00029, Cor,16548024019, PosCor,16548024019, NegCor,0, CorPosLog,33.945942, CorNegLog,0.000000, D,0.049627,
 s,3395, t,0.00031, Cor,15103506740, PosCor,15103506740, NegCor,0, CorPosLog,33.814163, CorNegLog,0.000000, D,0.053171,
 s,3396, t,0.00033, Cor,3952080549, PosCor,3952080549, NegCor,0, CorPosLog,31.879965, CorNegLog,0.000000, D,0.056716,
 s,3397, t,0.00035, Cor,-3782944469, PosCor,0, NegCor,3782944469, CorPosLog,0.000000, CorNegLog,31.816862, D,0.060261,
 s,3398, t,0.00038, Cor,-1203734358, PosCor,0, NegCor,1203734358, CorPosLog,0.000000, CorNegLog,30.164871, D,0.063807,
 s,3399, t,0.00040, Cor,7061762744, PosCor,7061762744, NegCor,0, CorPosLog,32.717381, CorNegLog,0.000000, D,0.067351,
 s,3400, t,0.00042, Cor,10245498115, PosCor,10245498115, NegCor,0, CorPosLog,33.254272, CorNegLog,0.000000, D,0.070895,
 s,3401, t,0.00044, Cor,2045674794, PosCor,2045674794, NegCor,0, CorPosLog,30.929930, CorNegLog,0.000000, D,0.074440,
 s,3402, t,0.00046, Cor,-12682095632, PosCor,0, NegCor,12682095632, CorPosLog,0.000000, CorNegLog,33.562073, D,0.077985,
 s,3403, t,0.00048, Cor,-21928963452, PosCor,0, NegCor,21928963452, CorPosLog,0.000000, CorNegLog,34.352116, D,0.081531,
 s,3404, t,0.00050, Cor,-16579932823, PosCor,0, NegCor,16579932823, CorPosLog,0.000000, CorNegLog,33.948719, D,0.085074,
 s,3405, t,0.00052, Cor,1282678434, PosCor,1282678434, NegCor,0, CorPosLog,30.256512, CorNegLog,0.000000, D,0.088619,
