 s,4370, t,0.00002, Cor,49888281794, PosCor,49888281794, NegCor,0, CorPosLog,35.537983, CorNegLog,0.000000, D,0.003546,
 s,4371, t,0.00004, Cor,5188586056, PosCor,5188586056, NegCor,0, CorPosLog,32.272694, CorNegLog,0.000000, D,0.007090,
 s,4372, t,0.00006, Cor,-44343433241, PosCor,0, NegCor,44343433241, CorPosLog,0.000000, CorNegLog,35.368000, D,0.010634,
 s,4373, t,0.00008, Cor,-64475457676, PosCor,0, NegCor,64475457676, CorPosLog,0.000000, CorNegLog,35.908031, D,0.014179,
 s,4374, t,0.00010, Cor,-41310975818, PosCor,0, NegCor,41310975818, CorPosLog,0.000000, CorNegLog,35.265804, D,0.017723,
 s,4375, t,0.00013, Cor,7811081031, PosCor,7811081031, NegCor,0, CorPosLog,32.862873, CorNegLog,0.000000, D,0.021270,
 s,4376, t,0.00015, Cor,46989302034, PosCor,46989302034, NegCor,0, CorPosLog,35.451611, CorNegLog,0.000000, D,0.024814,
 s,4377, t,0.00017, Cor,48650463928, PosCor,48650463928, NegCor,0, CorPosLog,35.501736, CorNegLog,0.000000, D,0.028358,
 s,4378, t,0.00019, Cor,14299741465, PosCor,14299741465, NegCor,0, CorPosLog,33.735268, CorNegLog,0.000000, D,0.031903,
 s,4379, t,0.00021, Cor,-27288256766, PosCor,0, NegCor,27288256766, CorPosLog,0.000000, CorNegLog,34.667561, D,0.035447,
 s,4380, t,0.00023, Cor,-43295404360, PosCor,0, NegCor,43295404360, CorPosLog,0.000000, CorNegLog,35.333496, D,0.038993,
 s,4381, t,0.00025, Cor,-22581939487, PosCor,0, NegCor,22581939487, CorPosLog,0.000000, CorNegLog,34.394451, D,0.042538,
 s,4382, t,0.00027, Cor,16058854736, PosCor,16058854736, NegCor,0, CorPosLog,33.902653, CorNegLog,0.000000, D,0.046082,
 s,4383, t,0.00029, Cor,39781231118, PosCor,39781231118, NegCor,0, CorPosLog,35.211369, CorNegLog,0.000000, D,0.049627,
 s,4384, t,0.00031, Cor,28490081324, PosCor,28490081324, NegCor,0, CorPosLog,34.729740, CorNegLog,0.000000, D,0.053171,
 s,4385, t,0.00033, Cor,-8650761017, PosCor,0, NegCor,8650761017, CorPosLog,0.000000, CorNegLog,33.010178, D,0.056717,
 s,4386, t,0.00035, Cor,-40567145236, PosCor,0, NegCor,40567145236, CorPosLog,0.000000, CorNegLog,35.239594, D,0.060262,
 s,4387, t,0.00038, Cor,-39687006185, PosCor,0, NegCor,39687006185, CorPosLog,0.000000, CorNegLog,35.207947, D,0.063807,
 s,4388, t,0.00040, Cor,-4856852507, PosCor,0, NegCor,4856852507, CorPosLog,0.000000, CorNegLog,32.177372, D,0.067350,
 s,4389, t,0.00042, Cor,37415383114, PosCor,37415383114, NegCor,0, CorPosLog,35.122913, CorNegLog,0.000000, D,0.070895,
 s,4390, t,0.00044, Cor,53161081888, PosCor,53161081888, NegCor,0, CorPosLog,35.629650, CorNegLog,0.000000, D,0.074441,
 s,4391, t,0.00046, Cor,28318652576, PosCor,28318652576, NegCor,0, CorPosLog,34.721031, CorNegLog,0.000000, D,0.077986,
 s,4392, t,0.00048, Cor,-19522780201, PosCor,0, NegCor,19522780201, CorPosLog,0.000000, CorNegLog,34.184437, D,0.081531,
 s,4393, t,0.00050, Cor,-54337519323, PosCor,0, NegCor,54337519323, CorPosLog,0.000000, CorNegLog,35.661228, D,0.085074,
 s,4394, t,0.00052, Cor,-49207940918, PosCor,0, NegCor,49207940918, CorPosLog,0.000000, CorNegLog,35.518169, D,0.088619,
 s,4395, t,0.00054, Cor,-7361287654, PosCor,0, NegCor,7361287654, CorPosLog,0.000000, CorNegLog,32.777313, D,0.092165,
 s,4396, t,0.00056, Cor,39943959935, PosCor,39943959935, NegCor,0, CorPosLog,35.217258, CorNegLog,0.000000, D,0.095710,
 s,4397, t,0.00058, Cor,57182651739, PosCor,57182651739, NegCor,0, CorPosLog,35.734859, CorNegLog,0.000000, D,0.099255,
 s,4398, t,0.00060, Cor,31480377726, PosCor,31480377726, NegCor,0, CorPosLog,34.873734, CorNegLog,0.000000, D,0.102798,
 s,4399, t,0.00062, Cor,-17731819940, PosCor,0, NegCor,17731819940, CorPosLog,0.000000, CorNegLog,34.045624, D,0.106343,
