 s,3346, t,0.00002, Cor,48012169999, PosCor,48012169999, NegCor,0, CorPosLog,35.482681, CorNegLog,0.000000, D,0.003545,
 s,3347, t,0.00004, Cor,1154032379, PosCor,1154032379, NegCor,0, CorPosLog,30.104036, CorNegLog,0.000000, D,0.007090,
 s,3348, t,0.00006, Cor,-46885484500, PosCor,0, NegCor,46885484500, CorPosLog,0.000000, CorNegLog,35.448421, D,0.010633,
 s,3349, t,0.00008, Cor,-63129946566, PosCor,0, NegCor,63129946566, CorPosLog,0.000000, CorNegLog,35.877605, D,0.014180,
 s,3350, t,0.00010, Cor,-37123342573, PosCor,0, NegCor,37123342573, CorPosLog,0.000000, CorNegLog,35.111607, D,0.017724,
 s,3351, t,0.00012, Cor,11401977709, PosCor,11401977709, NegCor,0, CorPosLog,33.408566, CorNegLog,0.000000, D,0.021269,
 s,3352, t,0.00015, Cor,46958069997, PosCor,46958069997, NegCor,0, CorPosLog,35.450653, CorNegLog,0.000000, D,0.024814,
 s,3353, t,0.00017, Cor,45080582111, PosCor,45080582111, NegCor,0, CorPosLog,35.391788, CorNegLog,0.000000, D,0.028358,
 s,3354, t,0.00019, Cor,10228600555, PosCor,10228600555, NegCor,0, CorPosLog,33.251892, CorNegLog,0.000000, D,0.031903,
 s,3355, t,0.00021, Cor,-28599893538, PosCor,0, NegCor,28599893538, CorPosLog,0.000000, CorNegLog,34.735291, D,0.035448,
 s,3356, t,0.00023, Cor,-41129949500, PosCor,0, NegCor,41129949500, CorPosLog,0.000000, CorNegLog,35.259472, D,0.038993,
 s,3357, t,0.00025, Cor,-19206706778, PosCor,0, NegCor,19206706778, CorPosLog,0.000000, CorNegLog,34.160892, D,0.042538,
 s,3358, t,0.00027, Cor,17660821927, PosCor,17660821927, NegCor,0, CorPosLog,34.039833, CorNegLog,0.000000, D,0.046082,
 s,3359, t,0.00029, Cor,38541660224, PosCor,38541660224, NegCor,0, CorPosLog,35.165699, CorNegLog,0.000000, D,0.049627,
 s,3360, t,0.00031, Cor,25992994728, PosCor,25992994728, NegCor,0, CorPosLog,34.597404, CorNegLog,0.000000, D,0.053172,
 s,3361, t,0.00033, Cor,-9648581767, PosCor,0, NegCor,9648581767, CorPosLog,0.000000, CorNegLog,33.167667, D,0.056717,
 s,3362, t,0.00035, Cor,-38839134406, PosCor,0, NegCor,38839134406, CorPosLog,0.000000, CorNegLog,35.176792, D,0.060261,
 s,3363, t,0.00037, Cor,-36564888823, PosCor,0, NegCor,36564888823, CorPosLog,0.000000, CorNegLog,35.089737, D,0.063806,
 s,3364, t,0.00040, Cor,-2773798511, PosCor,0, NegCor,2773798511, CorPosLog,0.000000, CorNegLog,31.369215, D,0.067351,
 s,3365, t,0.00042, Cor,36838638102, PosCor,36838638102, NegCor,0, CorPosLog,35.100502, CorNegLog,0.000000, D,0.070896,
 s,3366, t,0.00044, Cor,50587153939, PosCor,50587153939, NegCor,0, CorPosLog,35.558052, CorNegLog,0.000000, D,0.074441,
 s,3367, t,0.00046, Cor,26007752886, PosCor,26007752886, NegCor,0, CorPosLog,34.598225, CorNegLog,0.000000, D,0.077985,
 s,3368, t,0.00048, Cor,-19786209117, PosCor,0, NegCor,19786209117, CorPosLog,0.000000, CorNegLog,34.203777, D,0.081530,
 s,3369, t,0.00050, Cor,-52568221593, PosCor,0, NegCor,52568221593, CorPosLog,0.000000, CorNegLog,35.613472, D,0.085075,
 s,3370, t,0.00052, Cor,-47002944307, PosCor,0, NegCor,47002944307, CorPosLog,0.000000, CorNegLog,35.452034, D,0.088620,
 s,3371, t,0.00054, Cor,-6350998876, PosCor,0, NegCor,6350998876, CorPosLog,0.000000, CorNegLog,32.564339, D,0.092165,
 s,3372, t,0.00056, Cor,39415319649, PosCor,39415319649, NegCor,0, CorPosLog,35.198036, CorNegLog,0.000000, D,0.095709,
 s,3373, t,0.00058, Cor,55990782228, PosCor,55990782228, NegCor,0, CorPosLog,35.704472, CorNegLog,0.000000, D,0.099254,
 s,3374, t,0.00060, Cor,30637074913, PosCor,30637074913, NegCor,0, CorPosLog,34.834560, CorNegLog,0.000000, D,0.102799,
 s,3375, t,0.00062, Cor,-18027956661, PosCor,0, NegCor,18027956661, CorPosLog,0.000000, CorNegLog,34.069515, D,0.106344,
 s,3376, t,0.00065, Cor,-53752805861, PosCor,0, NegCor,53752805861, CorPosLog,0.000000, CorNegLog,35.645622, D,0.109888,
 s,3377, t,0.00067, Cor,-49759098130, PosCor,0, NegCor,49759098130, CorPosLog,0.000000, CorNegLog,35.534241, D,0.113433,
 s,3378, t,0.00069, Cor,-8784818466, PosCor,0, NegCor,8784818466, CorPosLog,0.000000, CorNegLog,33.032368, D,0.116979,
 s,3379, t,0.00071, Cor,39082235522, PosCor,39082235522, NegCor,0, CorPosLog,35.185791, CorNegLog,0.000000, D,0.120523,
 s,3380, t,0.00073, Cor,58945366456, PosCor,58945366456, NegCor,0, CorPosLog,35.778660, CorNegLog,0.000000, D,0.124068,
 s,3381, t,0.00075, Cor,36800269946, PosCor,36800269946, NegCor,0, CorPosLog,35.098999, CorNegLog,0.000000, D,0.127612,
 s,3382, t,0.00077, Cor,-10690346700, PosCor,0, NegCor,10690346700, CorPosLog,0.000000, CorNegLog,33.315590, D,0.131157,
 s,3383, t,0.00079, Cor,-49200701997, PosCor,0, NegCor,49200701997, CorPosLog,0.000000, CorNegLog,35.517960, D,0.134703,
 s,3384, t,0.00081, Cor,-52137884138, PosCor,0, NegCor,52137884138, CorPosLog,0.000000, CorNegLog,35.601612, D,0.138247,
 s,3385, t,0.00083, Cor,-19846219542, PosCor,0, NegCor,19846219542, CorPosLog,0.000000, CorNegLog,34.208145, D,0.141792,
