 s,3346, t,0.00002, Cor,55326289164, PosCor,55326289164, NegCor,0, CorPosLog,35.687244, CorNegLog,0.000000, D,0.003545,
 s,3347, t,0.00004, Cor,10416448718, PosCor,10416448718, NegCor,0, CorPosLog,33.278145, CorNegLog,0.000000, D,0.007090,
 s,3348, t,0.00006, Cor,-43294686289, PosCor,0, NegCor,43294686289, CorPosLog,0.000000, CorNegLog,35.333469, D,0.010633,
 s,3349, t,0.00008, Cor,-68738531419, PosCor,0, NegCor,68738531419, CorPosLog,0.000000, CorNegLog,36.000401, D,0.014180,
 s,3350, t,0.00010, Cor,-48290020670, PosCor,0, NegCor,48290020670, CorPosLog,0.000000, CorNegLog,35.491005, D,0.017724,
 s,3351, t,0.00012, Cor,2789776400, PosCor,2789776400, NegCor,0, CorPosLog,31.377502, CorNegLog,0.000000, D,0.021269,
 s,3352, t,0.00015, Cor,47477316940, PosCor,47477316940, NegCor,0, CorPosLog,35.466518, CorNegLog,0.000000, D,0.024814,
 s,3353, t,0.00017, Cor,54663921263, PosCor,54663921263, NegCor,0, CorPosLog,35.669868, CorNegLog,0.000000, D,0.028358,
 s,3354, t,0.00019, Cor,22321055604, PosCor,22321055604, NegCor,0, CorPosLog,34.377686, CorNegLog,0.000000, D,0.031903,
 s,3355, t,0.00021, Cor,-22247461654, PosCor,0, NegCor,22247461654, CorPosLog,0.000000, CorNegLog,34.372921, D,0.035448,
 s,3356, t,0.00023, Cor,-44389640440, PosCor,0, NegCor,44389640440, CorPosLog,0.000000, CorNegLog,35.369503, D,0.038993,
 s,3357, t,0.00025, Cor,-29220454777, PosCor,0, NegCor,29220454777, CorPosLog,0.000000, CorNegLog,34.766258, D,0.042538,
 s,3358, t,0.00027, Cor,8100457433, PosCor,8100457433, NegCor,0, CorPosLog,32.915356, CorNegLog,0.000000, D,0.046082,
 s,3359, t,0.00029, Cor,35575916190, PosCor,35575916190, NegCor,0, CorPosLog,35.050182, CorNegLog,0.000000, D,0.049627,
 s,3360, t,0.00031, Cor,30668078341, PosCor,30668078341, NegCor,0, CorPosLog,34.836018, CorNegLog,0.000000, D,0.053172,
 s,3361, t,0.00033, Cor,-1652036991, PosCor,0, NegCor,1652036991, CorPosLog,0.000000, CorNegLog,30.621599, D,0.056717,
 s,3362, t,0.00035, Cor,-33571992720, PosCor,0, NegCor,33571992720, CorPosLog,0.000000, CorNegLog,34.966537, D,0.060261,
 s,3363, t,0.00037, Cor,-37516141563, PosCor,0, NegCor,37516141563, CorPosLog,0.000000, CorNegLog,35.126793, D,0.063806,
 s,3364, t,0.00040, Cor,-8676771374, PosCor,0, NegCor,8676771374, CorPosLog,0.000000, CorNegLog,33.014511, D,0.067351,
 s,3365, t,0.00042, Cor,30602983221, PosCor,30602983221, NegCor,0, CorPosLog,34.832954, CorNegLog,0.000000, D,0.070896,
 s,3366, t,0.00044, Cor,48542105132, PosCor,48542105132, NegCor,0, CorPosLog,35.498516, CorNegLog,0.000000, D,0.074441,
 s,3367, t,0.00046, Cor,29477181662, PosCor,29477181662, NegCor,0, CorPosLog,34.778877, CorNegLog,0.000000, D,0.077985,
 s,3368, t,0.00048, Cor,-13202955550, PosCor,0, NegCor,13202955550, CorPosLog,0.000000, CorNegLog,33.620144, D,0.081530,
 s,3369, t,0.00050, Cor,-47123897275, PosCor,0, NegCor,47123897275, CorPosLog,0.000000, CorNegLog,35.455738, D,0.085075,
 s,3370, t,0.00052, Cor,-45979383783, PosCor,0, NegCor,45979383783, CorPosLog,0.000000, CorNegLog,35.420269, D,0.088620,
 s,3371, t,0.00054, Cor,-10145125954, PosCor,0, NegCor,10145125954, CorPosLog,0.000000, CorNegLog,33.240067, D,0.092165,
 s,3372, t,0.00056, Cor,33252509165, PosCor,33252509165, NegCor,0, CorPosLog,34.952744, CorNegLog,0.000000, D,0.095709,
 s,3373, t,0.00058, Cor,51078073878, PosCor,51078073878, NegCor,0, CorPosLog,35.571987, CorNegLog,0.000000, D,0.099254,
 s,3374, t,0.00060, Cor,29622127111, PosCor,29622127111, NegCor,0, CorPosLog,34.785957, CorNegLog,0.000000, D,0.102799,
 s,3375, t,0.00062, Cor,-14865436441, PosCor,0, NegCor,14865436441, CorPosLog,0.000000, CorNegLog,33.791241, D,0.106344,
 s,3376, t,0.00065, Cor,-48528105429, PosCor,0, NegCor,48528105429, CorPosLog,0.000000, CorNegLog,35.498104, D,0.109888,
 s,3377, t,0.00067, Cor,-45715657894, PosCor,0, NegCor,45715657894, CorPosLog,0.000000, CorNegLog,35.411968, D,0.113433,
 s,3378, t,0.00069, Cor,-8417318382, PosCor,0, NegCor,8417318382, CorPosLog,0.000000, CorNegLog,32.970715, D,0.116979,
 s,3379, t,0.00071, Cor,35460792991, PosCor,35460792991, NegCor,0, CorPosLog,35.045506, CorNegLog,0.000000, D,0.120523,
 s,3380, t,0.00073, Cor,53318239436, PosCor,53318239436, NegCor,0, CorPosLog,35.633911, CorNegLog,0.000000, D,0.124068,
 s,3381, t,0.00075, Cor,32094828924, PosCor,32094828924, NegCor,0, CorPosLog,34.901623, CorNegLog,0.000000, D,0.127612,
 s,3382, t,0.00077, Cor,-12127963368, PosCor,0, NegCor,12127963368, CorPosLog,0.000000, CorNegLog,33.497620, D,0.131157,
 s,3383, t,0.00079, Cor,-46904122475, PosCor,0, NegCor,46904122475, CorPosLog,0.000000, CorNegLog,35.448994, D,0.134703,
 s,3384, t,0.00081, Cor,-47901817682, PosCor,0, NegCor,47901817682, CorPosLog,0.000000, CorNegLog,35.479359, D,0.138247,
 s,3385, t,0.00083, Cor,-16101865816, PosCor,0, NegCor,16101865816, CorPosLog,0.000000, CorNegLog,33.906509, D,0.141792,
 s,3386, t,0.00085, Cor,24172081488, PosCor,24172081488, NegCor,0, CorPosLog,34.492622, CorNegLog,0.000000, D,0.145336,
 s,3387, t,0.00087, Cor,44725937863, PosCor,44725937863, NegCor,0, CorPosLog,35.380390, CorNegLog,0.000000, D,0.148881,
 s,3388, t,0.00090, Cor,33950636879, PosCor,33950636879, NegCor,0, CorPosLog,34.982719, CorNegLog,0.000000, D,0.152427,
 s,3389, t,0.00092, Cor,3415484429, PosCor,3415484429, NegCor,0, CorPosLog,31.669443, CorNegLog,0.000000, D,0.155972,
 s,3390, t,0.00094, Cor,-23162153824, PosCor,0, NegCor,23162153824, CorPosLog,0.000000, CorNegLog,34.431049, D,0.159515,
 s,3391, t,0.00096, Cor,-28711213797, PosCor,0, NegCor,28711213797, CorPosLog,0.000000, CorNegLog,34.740894, D,0.163060,
 s,3392, t,0.00098, Cor,-14302323996, PosCor,0, NegCor,14302323996, CorPosLog,0.000000, CorNegLog,33.735531, D,0.166605,
 s,3393, t,0.00100, Cor,4701895362, PosCor,4701895362, NegCor,0, CorPosLog,32.130592, CorNegLog,0.000000, D,0.170151,
 s,3394, t,0.00102, Cor,12905728378, PosCor,12905728378, NegCor,0, CorPosLog,33.587292, CorNegLog,0.000000, D,0.173696,
 s,3395, t,0.00104, Cor,7459019313, PosCor,7459019313, NegCor,0, CorPosLog,32.796337, CorNegLog,0.000000, D,0.177239,
 s,3396, t,0.00106, Cor,-2173298014, PosCor,0, NegCor,2173298014, CorPosLog,0.000000, CorNegLog,31.017239, D,0.180784,
 s,3397, t,0.00108, Cor,-4481419468, PosCor,0, NegCor,4481419468, CorPosLog,0.000000, CorNegLog,32.061310, D,0.184329,
 s,3398, t,0.00110, Cor,2997540304, PosCor,2997540304, NegCor,0, CorPosLog,31.481133, CorNegLog,0.000000, D,0.187875,
 s,3399, t,0.00113, Cor,11709155307, PosCor,11709155307, NegCor,0, CorPosLog,33.446918, CorNegLog,0.000000, D,0.191420,
 s,3400, t,0.00115, Cor,10883674008, PosCor,10883674008, NegCor,0, CorPosLog,33.341446, CorNegLog,0.000000, D,0.194963,
 s,3401, t,0.00117, Cor,-1886013484, PosCor,0, NegCor,1886013484, CorPosLog,0.000000, CorNegLog,30.812693, D,0.198508,
 s,3402, t,0.00119, Cor,-17322147621, PosCor,0, NegCor,17322147621, CorPosLog,0.000000, CorNegLog,34.011898, D,0.202053,
 s,3403, t,0.00121, Cor,-22090233584, PosCor,0, NegCor,22090233584, CorPosLog,0.000000, CorNegLog,34.362690, D,0.205599,
 s,3404, t,0.00123, Cor,-10528179164, PosCor,0, NegCor,10528179164, CorPosLog,0.000000, CorNegLog,33.293537, D,0.209143,
 s,3405, t,0.00125, Cor,9745278740, PosCor,9745278740, NegCor,0, CorPosLog,33.182056, CorNegLog,0.000000, D,0.212687,
 s,3406, t,0.00127, Cor,23471932113, PosCor,23471932113, NegCor,0, CorPosLog,34.450214, CorNegLog,0.000000, D,0.216232,
 s,3407, t,0.00129, Cor,20044608638, PosCor,20044608638, NegCor,0, CorPosLog,34.222496, CorNegLog,0.000000, D,0.219777,
 s,3408, t,0.00131, Cor,2317981019, PosCor,2317981019, NegCor,0, CorPosLog,31.110222, CorNegLog,0.000000, D,0.223323,
 s,3409, t,0.00133, Cor,-15777519274, PosCor,0, NegCor,15777519274, CorPosLog,0.000000, CorNegLog,33.877151, D,0.226867,
 s,3410, t,0.00135, Cor,-20335719967, PosCor,0, NegCor,20335719967, CorPosLog,0.000000, CorNegLog,34.243298, D,0.230412,
 s,3411, t,0.00137, Cor,-8723715406, PosCor,0, NegCor,8723715406, CorPosLog,0.000000, CorNegLog,33.022297, D,0.233956,
 s,3412, t,0.00140, Cor,8765626418, PosCor,8765626418, NegCor,0, CorPosLog,33.029209, CorNegLog,0.000000, D,0.237500,
 s,3413, t,0.00142, Cor,17619496258, PosCor,17619496258, NegCor,0, CorPosLog,34.036453, CorNegLog,0.000000, D,0.241047,
 s,3414, t,0.00144, Cor,10939187665, PosCor,10939187665, NegCor,0, CorPosLog,33.348785, CorNegLog,0.000000, D,0.244591,
