 s,3346, t,0.00002, Cor,56424360303, PosCor,56424360303, NegCor,0, CorPosLog,35.715599, CorNegLog,0.000000, D,0.003545,
 s,3347, t,0.00004, Cor,9978968983, PosCor,9978968983, NegCor,0, CorPosLog,33.216244, CorNegLog,0.000000, D,0.007090,
 s,3348, t,0.00006, Cor,-44617880343, PosCor,0, NegCor,44617880343, CorPosLog,0.000000, CorNegLog,35.376904, D,0.010633,
 s,3349, t,0.00008, Cor,-70151366208, PosCor,0, NegCor,70151366208, CorPosLog,0.000000, CorNegLog,36.029751, D,0.014180,
 s,3350, t,0.00010, Cor,-49165400113, PosCor,0, NegCor,49165400113, CorPosLog,0.000000, CorNegLog,35.516926, D,0.017724,
 s,3351, t,0.00012, Cor,2716980539, PosCor,2716980539, NegCor,0, CorPosLog,31.339357, CorNegLog,0.000000, D,0.021269,
 s,3352, t,0.00015, Cor,48045992302, PosCor,48045992302, NegCor,0, CorPosLog,35.483696, CorNegLog,0.000000, D,0.024814,
 s,3353, t,0.00017, Cor,55341538371, PosCor,55341538371, NegCor,0, CorPosLog,35.687645, CorNegLog,0.000000, D,0.028358,
 s,3354, t,0.00019, Cor,22282843565, PosCor,22282843565, NegCor,0, CorPosLog,34.375214, CorNegLog,0.000000, D,0.031903,
 s,3355, t,0.00021, Cor,-23340143096, PosCor,0, NegCor,23340143096, CorPosLog,0.000000, CorNegLog,34.442093, D,0.035448,
 s,3356, t,0.00023, Cor,-45863206228, PosCor,0, NegCor,45863206228, CorPosLog,0.000000, CorNegLog,35.416618, D,0.038993,
 s,3357, t,0.00025, Cor,-29726221734, PosCor,0, NegCor,29726221734, CorPosLog,0.000000, CorNegLog,34.791016, D,0.042538,
 s,3358, t,0.00027, Cor,9260112978, PosCor,9260112978, NegCor,0, CorPosLog,33.108383, CorNegLog,0.000000, D,0.046082,
 s,3359, t,0.00029, Cor,37693626755, PosCor,37693626755, NegCor,0, CorPosLog,35.133602, CorNegLog,0.000000, D,0.049627,
 s,3360, t,0.00031, Cor,32147735307, PosCor,32147735307, NegCor,0, CorPosLog,34.903996, CorNegLog,0.000000, D,0.053172,
 s,3361, t,0.00033, Cor,-2422531586, PosCor,0, NegCor,2422531586, CorPosLog,0.000000, CorNegLog,31.173866, D,0.056717,
 s,3362, t,0.00035, Cor,-36437761557, PosCor,0, NegCor,36437761557, CorPosLog,0.000000, CorNegLog,35.084713, D,0.060261,
 s,3363, t,0.00037, Cor,-40264177415, PosCor,0, NegCor,40264177415, CorPosLog,0.000000, CorNegLog,35.228779, D,0.063806,
 s,3364, t,0.00040, Cor,-8938180282, PosCor,0, NegCor,8938180282, CorPosLog,0.000000, CorNegLog,33.057331, D,0.067351,
 s,3365, t,0.00042, Cor,33332407044, PosCor,33332407044, NegCor,0, CorPosLog,34.956207, CorNegLog,0.000000, D,0.070896,
 s,3366, t,0.00044, Cor,52268848412, PosCor,52268848412, NegCor,0, CorPosLog,35.605232, CorNegLog,0.000000, D,0.074441,
 s,3367, t,0.00046, Cor,31305453362, PosCor,31305453362, NegCor,0, CorPosLog,34.865696, CorNegLog,0.000000, D,0.077985,
 s,3368, t,0.00048, Cor,-14897288570, PosCor,0, NegCor,14897288570, CorPosLog,0.000000, CorNegLog,33.794331, D,0.081530,
 s,3369, t,0.00050, Cor,-51145736853, PosCor,0, NegCor,51145736853, CorPosLog,0.000000, CorNegLog,35.573895, D,0.085075,
 s,3370, t,0.00052, Cor,-49138426880, PosCor,0, NegCor,49138426880, CorPosLog,0.000000, CorNegLog,35.516132, D,0.088620,
 s,3371, t,0.00054, Cor,-9868642216, PosCor,0, NegCor,9868642216, CorPosLog,0.000000, CorNegLog,33.200207, D,0.092165,
 s,3372, t,0.00056, Cor,36880832524, PosCor,36880832524, NegCor,0, CorPosLog,35.102150, CorNegLog,0.000000, D,0.095709,
 s,3373, t,0.00058, Cor,55309433417, PosCor,55309433417, NegCor,0, CorPosLog,35.686806, CorNegLog,0.000000, D,0.099254,
 s,3374, t,0.00060, Cor,31175629049, PosCor,31175629049, NegCor,0, CorPosLog,34.859699, CorNegLog,0.000000, D,0.102799,
 s,3375, t,0.00062, Cor,-17211780279, PosCor,0, NegCor,17211780279, CorPosLog,0.000000, CorNegLog,34.002678, D,0.106344,
 s,3376, t,0.00065, Cor,-52910657794, PosCor,0, NegCor,52910657794, CorPosLog,0.000000, CorNegLog,35.622837, D,0.109888,
 s,3377, t,0.00067, Cor,-48703439374, PosCor,0, NegCor,48703439374, CorPosLog,0.000000, CorNegLog,35.503307, D,0.113433,
 s,3378, t,0.00069, Cor,-7603669565, PosCor,0, NegCor,7603669565, CorPosLog,0.000000, CorNegLog,32.824047, D,0.116979,
 s,3379, t,0.00071, Cor,39637754092, PosCor,39637754092, NegCor,0, CorPosLog,35.206154, CorNegLog,0.000000, D,0.120523,
 s,3380, t,0.00073, Cor,58046803432, PosCor,58046803432, NegCor,0, CorPosLog,35.756496, CorNegLog,0.000000, D,0.124068,
 s,3381, t,0.00075, Cor,34453578450, PosCor,34453578450, NegCor,0, CorPosLog,35.003933, CorNegLog,0.000000, D,0.127612,
 s,3382, t,0.00077, Cor,-13345242448, PosCor,0, NegCor,13345242448, CorPosLog,0.000000, CorNegLog,33.635609, D,0.131157,
 s,3383, t,0.00079, Cor,-50631753044, PosCor,0, NegCor,50631753044, CorPosLog,0.000000, CorNegLog,35.559322, D,0.134703,
 s,3384, t,0.00081, Cor,-51711164307, PosCor,0, NegCor,51711164307, CorPosLog,0.000000, CorNegLog,35.589756, D,0.138247,
 s,3385, t,0.00083, Cor,-18041718434, PosCor,0, NegCor,18041718434, CorPosLog,0.000000, CorNegLog,34.070618, D,0.141792,
 s,3386, t,0.00085, Cor,24836536263, PosCor,24836536263, NegCor,0, CorPosLog,34.531746, CorNegLog,0.000000, D,0.145336,
 s,3387, t,0.00087, Cor,47200526178, PosCor,47200526178, NegCor,0, CorPosLog,35.458084, CorNegLog,0.000000, D,0.148881,
 s,3388, t,0.00090, Cor,36679952804, PosCor,36679952804, NegCor,0, CorPosLog,35.094273, CorNegLog,0.000000, D,0.152427,
 s,3389, t,0.00092, Cor,4992697310, PosCor,4992697310, NegCor,0, CorPosLog,32.217171, CorNegLog,0.000000, D,0.155972,
 s,3390, t,0.00094, Cor,-23484466710, PosCor,0, NegCor,23484466710, CorPosLog,0.000000, CorNegLog,34.450985, D,0.159515,
 s,3391, t,0.00096, Cor,-30891500142, PosCor,0, NegCor,30891500142, CorPosLog,0.000000, CorNegLog,34.846493, D,0.163060,
 s,3392, t,0.00098, Cor,-17606299213, PosCor,0, NegCor,17606299213, CorPosLog,0.000000, CorNegLog,34.035374, D,0.166605,
 s,3393, t,0.00100, Cor,1496070761, PosCor,1496070761, NegCor,0, CorPosLog,30.478531, CorNegLog,0.000000, D,0.170151,
 s,3394, t,0.00102, Cor,11196824394, PosCor,11196824394, NegCor,0, CorPosLog,33.382370, CorNegLog,0.000000, D,0.173696,
 s,3395, t,0.00104, Cor,7930568596, PosCor,7930568596, NegCor,0, CorPosLog,32.884777, CorNegLog,0.000000, D,0.177239,
 s,3396, t,0.00106, Cor,245898771, PosCor,245898771, NegCor,0, CorPosLog,27.873489, CorNegLog,0.000000, D,0.180784,
 s,3397, t,0.00108, Cor,-1152695910, PosCor,0, NegCor,1152695910, CorPosLog,0.000000, CorNegLog,30.102365, D,0.184329,
 s,3398, t,0.00110, Cor,5916844416, PosCor,5916844416, NegCor,0, CorPosLog,32.462181, CorNegLog,0.000000, D,0.187875,
 s,3399, t,0.00113, Cor,13255788285, PosCor,13255788285, NegCor,0, CorPosLog,33.625904, CorNegLog,0.000000, D,0.191420,
 s,3400, t,0.00115, Cor,10564896106, PosCor,10564896106, NegCor,0, CorPosLog,33.298561, CorNegLog,0.000000, D,0.194963,
 s,3401, t,0.00117, Cor,-3991095225, PosCor,0, NegCor,3991095225, CorPosLog,0.000000, CorNegLog,31.894138, D,0.198508,
 s,3402, t,0.00119, Cor,-20675404428, PosCor,0, NegCor,20675404428, CorPosLog,0.000000, CorNegLog,34.267197, D,0.202053,
 s,3403, t,0.00121, Cor,-25655941857, PosCor,0, NegCor,25655941857, CorPosLog,0.000000, CorNegLog,34.578571, D,0.205599,
 s,3404, t,0.00123, Cor,-12856893335, PosCor,0, NegCor,12856893335, CorPosLog,0.000000, CorNegLog,33.581821, D,0.209143,
 s,3405, t,0.00125, Cor,10066383477, PosCor,10066383477, NegCor,0, CorPosLog,33.228825, CorNegLog,0.000000, D,0.212687,
 s,3406, t,0.00127, Cor,26905557854, PosCor,26905557854, NegCor,0, CorPosLog,34.647186, CorNegLog,0.000000, D,0.216232,
 s,3407, t,0.00129, Cor,25366849599, PosCor,25366849599, NegCor,0, CorPosLog,34.562225, CorNegLog,0.000000, D,0.219777,
 s,3408, t,0.00131, Cor,6781898495, PosCor,6781898495, NegCor,0, CorPosLog,32.659042, CorNegLog,0.000000, D,0.223323,
 s,3409, t,0.00133, Cor,-14900912864, PosCor,0, NegCor,14900912864, CorPosLog,0.000000, CorNegLog,33.794682, D,0.226867,
 s,3410, t,0.00135, Cor,-24029195934, PosCor,0, NegCor,24029195934, CorPosLog,0.000000, CorNegLog,34.484070, D,0.230412,
 s,3411, t,0.00137, Cor,-15217944216, PosCor,0, NegCor,15217944216, CorPosLog,0.000000, CorNegLog,33.825054, D,0.233956,
 s,3412, t,0.00140, Cor,3132761361, PosCor,3132761361, NegCor,0, CorPosLog,31.544788, CorNegLog,0.000000, D,0.237500,
 s,3413, t,0.00142, Cor,16102588744, PosCor,16102588744, NegCor,0, CorPosLog,33.906570, CorNegLog,0.000000, D,0.241047,
 s,3414, t,0.00144, Cor,14220016633, PosCor,14220016633, NegCor,0, CorPosLog,33.727203, CorNegLog,0.000000, D,0.244591,
 s,3415, t,0.00146, Cor,358764656, PosCor,358764656, NegCor,0, CorPosLog,28.418463, CorNegLog,0.000000, D,0.248136,
 s,3416, t,0.00148, Cor,-13193793704, PosCor,0, NegCor,13193793704, CorPosLog,0.000000, CorNegLog,33.619141, D,0.251680,
 s,3417, t,0.00150, Cor,-14861587983, PosCor,0, NegCor,14861587983, CorPosLog,0.000000, CorNegLog,33.790871, D,0.255224,
 s,3418, t,0.00152, Cor,-3133635650, PosCor,0, NegCor,3133635650, CorPosLog,0.000000, CorNegLog,31.545189, D,0.258770,
 s,3419, t,0.00154, Cor,12705418964, PosCor,12705418964, NegCor,0, CorPosLog,33.564724, CorNegLog,0.000000, D,0.262315,
 s,3420, t,0.00156, Cor,20144873323, PosCor,20144873323, NegCor,0, CorPosLog,34.229694, CorNegLog,0.000000, D,0.265860,
 s,3421, t,0.00158, Cor,13109199832, PosCor,13109199832, NegCor,0, CorPosLog,33.609859, CorNegLog,0.000000, D,0.269404,
 s,3422, t,0.00160, Cor,-3712159534, PosCor,0, NegCor,3712159534, CorPosLog,0.000000, CorNegLog,31.789612, D,0.272948,
 s,3423, t,0.00163, Cor,-18879356749, PosCor,0, NegCor,18879356749, CorPosLog,0.000000, CorNegLog,34.136089, D,0.276494,
 s,3424, t,0.00165, Cor,-22360780219, PosCor,0, NegCor,22360780219, CorPosLog,0.000000, CorNegLog,34.380249, D,0.280039,
 s,3425, t,0.00167, Cor,-12646717561, PosCor,0, NegCor,12646717561, CorPosLog,0.000000, CorNegLog,33.558044, D,0.283584,
 s,3426, t,0.00169, Cor,3297905483, PosCor,3297905483, NegCor,0, CorPosLog,31.618902, CorNegLog,0.000000, D,0.287127,
 s,3427, t,0.00171, Cor,15640766953, PosCor,15640766953, NegCor,0, CorPosLog,33.864594, CorNegLog,0.000000, D,0.290672,
 s,3428, t,0.00173, Cor,18277602563, PosCor,18277602563, NegCor,0, CorPosLog,34.089359, CorNegLog,0.000000, D,0.294218,
 s,3429, t,0.00175, Cor,11830874837, PosCor,11830874837, NegCor,0, CorPosLog,33.461838, CorNegLog,0.000000, D,0.297763,
 s,3430, t,0.00177, Cor,1534737344, PosCor,1534737344, NegCor,0, CorPosLog,30.515345, CorNegLog,0.000000, D,0.301308,
 s,3431, t,0.00179, Cor,-6870148058, PosCor,0, NegCor,6870148058, CorPosLog,0.000000, CorNegLog,32.677692, D,0.304852,
 s,3432, t,0.00181, Cor,-10752829183, PosCor,0, NegCor,10752829183, CorPosLog,0.000000, CorNegLog,33.323997, D,0.308396,
 s,3433, t,0.00183, Cor,-10758115896, PosCor,0, NegCor,10758115896, CorPosLog,0.000000, CorNegLog,33.324707, D,0.311942,
 s,3434, t,0.00185, Cor,-8449676037, PosCor,0, NegCor,8449676037, CorPosLog,0.000000, CorNegLog,32.976250, D,0.315487,
 s,3435, t,0.00187, Cor,-4545589723, PosCor,0, NegCor,4545589723, CorPosLog,0.000000, CorNegLog,32.081821, D,0.319032,
 s,3436, t,0.00190, Cor,1018811478, PosCor,1018811478, NegCor,0, CorPosLog,29.924240, CorNegLog,0.000000, D,0.322576,
 s,3437, t,0.00192, Cor,7549009759, PosCor,7549009759, NegCor,0, CorPosLog,32.813641, CorNegLog,0.000000, D,0.326120,
 s,3438, t,0.00194, Cor,12778462305, PosCor,12778462305, NegCor,0, CorPosLog,33.572994, CorNegLog,0.000000, D,0.329666,
 s,3439, t,0.00196, Cor,13482869766, PosCor,13482869766, NegCor,0, CorPosLog,33.650410, CorNegLog,0.000000, D,0.333211,
 s,3440, t,0.00198, Cor,7833203278, PosCor,7833203278, NegCor,0, CorPosLog,32.866955, CorNegLog,0.000000, D,0.336755,
 s,3441, t,0.00200, Cor,-2488101532, PosCor,0, NegCor,2488101532, CorPosLog,0.000000, CorNegLog,31.212399, D,0.340300,
 s,3442, t,0.00202, Cor,-12810046144, PosCor,0, NegCor,12810046144, CorPosLog,0.000000, CorNegLog,33.576557, D,0.343844,
 s,3443, t,0.00204, Cor,-17703392479, PosCor,0, NegCor,17703392479, CorPosLog,0.000000, CorNegLog,34.043308, D,0.347390,
 s,3444, t,0.00206, Cor,-14247285015, PosCor,0, NegCor,14247285015, CorPosLog,0.000000, CorNegLog,33.729965, D,0.350935,
 s,3445, t,0.00208, Cor,-3934186141, PosCor,0, NegCor,3934186141, CorPosLog,0.000000, CorNegLog,31.873419, D,0.354479,
 s,3446, t,0.00210, Cor,8037884818, PosCor,8037884818, NegCor,0, CorPosLog,32.904171, CorNegLog,0.000000, D,0.358024,
 s,3447, t,0.00212, Cor,15762697726, PosCor,15762697726, NegCor,0, CorPosLog,33.875793, CorNegLog,0.000000, D,0.361568,
 s,3448, t,0.00215, Cor,15642149689, PosCor,15642149689, NegCor,0, CorPosLog,33.864719, CorNegLog,0.000000, D,0.365114,
 s,3449, t,0.00217, Cor,8250880840, PosCor,8250880840, NegCor,0, CorPosLog,32.941902, CorNegLog,0.000000, D,0.368659,
 s,3450, t,0.00219, Cor,-2335638467, PosCor,0, NegCor,2335638467, CorPosLog,0.000000, CorNegLog,31.121168, D,0.372203,
 s,3451, t,0.00221, Cor,-10867775271, PosCor,0, NegCor,10867775271, CorPosLog,0.000000, CorNegLog,33.339336, D,0.375748,
 s,3452, t,0.00223, Cor,-13619405610, PosCor,0, NegCor,13619405610, CorPosLog,0.000000, CorNegLog,33.664944, D,0.379293,
 s,3453, t,0.00225, Cor,-9997946771, PosCor,0, NegCor,9997946771, CorPosLog,0.000000, CorNegLog,33.218987, D,0.382838,
 s,3454, t,0.00227, Cor,-2481547324, PosCor,0, NegCor,2481547324, CorPosLog,0.000000, CorNegLog,31.208593, D,0.386382,
 s,3455, t,0.00229, Cor,4856541856, PosCor,4856541856, NegCor,0, CorPosLog,32.177284, CorNegLog,0.000000, D,0.389927,
 s,3456, t,0.00231, Cor,8580262099, PosCor,8580262099, NegCor,0, CorPosLog,32.998375, CorNegLog,0.000000, D,0.393472,
 s,3457, t,0.00233, Cor,7400240071, PosCor,7400240071, NegCor,0, CorPosLog,32.784927, CorNegLog,0.000000, D,0.397017,
 s,3458, t,0.00235, Cor,2750600093, PosCor,2750600093, NegCor,0, CorPosLog,31.357100, CorNegLog,0.000000, D,0.400562,
 s,3459, t,0.00237, Cor,-2244228122, PosCor,0, NegCor,2244228122, CorPosLog,0.000000, CorNegLog,31.063572, D,0.404106,
 s,3460, t,0.00240, Cor,-4558319808, PosCor,0, NegCor,4558319808, CorPosLog,0.000000, CorNegLog,32.085854, D,0.407651,
 s,3461, t,0.00242, Cor,-3103022542, PosCor,0, NegCor,3103022542, CorPosLog,0.000000, CorNegLog,31.531027, D,0.411196,
 s,3462, t,0.00244, Cor,591384903, PosCor,591384903, NegCor,0, CorPosLog,29.139521, CorNegLog,0.000000, D,0.414742,
 s,3463, t,0.00246, Cor,3292351936, PosCor,3292351936, NegCor,0, CorPosLog,31.616470, CorNegLog,0.000000, D,0.418286,
 s,3464, t,0.00248, Cor,2346777014, PosCor,2346777014, NegCor,0, CorPosLog,31.128035, CorNegLog,0.000000, D,0.421830,
 s,3465, t,0.00250, Cor,-2189675327, PosCor,0, NegCor,2189675327, CorPosLog,0.000000, CorNegLog,31.028070, D,0.425375,
 s,3466, t,0.00252, Cor,-7150455198, PosCor,0, NegCor,7150455198, CorPosLog,0.000000, CorNegLog,32.735386, D,0.428920,
 s,3467, t,0.00254, Cor,-8247474229, PosCor,0, NegCor,8247474229, CorPosLog,0.000000, CorNegLog,32.941307, D,0.432466,
 s,3468, t,0.00256, Cor,-3299768381, PosCor,0, NegCor,3299768381, CorPosLog,0.000000, CorNegLog,31.619717, D,0.436009,
 s,3469, t,0.00258, Cor,5617411511, PosCor,5617411511, NegCor,0, CorPosLog,32.387257, CorNegLog,0.000000, D,0.439554,
 s,3470, t,0.00260, Cor,12941045973, PosCor,12941045973, NegCor,0, CorPosLog,33.591236, CorNegLog,0.000000, D,0.443099,
 s,3471, t,0.00262, Cor,13156964978, PosCor,13156964978, NegCor,0, CorPosLog,33.615108, CorNegLog,0.000000, D,0.446644,
 s,3472, t,0.00265, Cor,4887011659, PosCor,4887011659, NegCor,0, CorPosLog,32.186306, CorNegLog,0.000000, D,0.450190,
 s,3473, t,0.00267, Cor,-7491821985, PosCor,0, NegCor,7491821985, CorPosLog,0.000000, CorNegLog,32.802670, D,0.453733,
 s,3474, t,0.00269, Cor,-16303253025, PosCor,0, NegCor,16303253025, CorPosLog,0.000000, CorNegLog,33.924442, D,0.457278,
 s,3475, t,0.00271, Cor,-15679167944, PosCor,0, NegCor,15679167944, CorPosLog,0.000000, CorNegLog,33.868130, D,0.460823,
 s,3476, t,0.00273, Cor,-5712640304, PosCor,0, NegCor,5712640304, CorPosLog,0.000000, CorNegLog,32.411510, D,0.464367,
 s,3477, t,0.00275, Cor,7469031283, PosCor,7469031283, NegCor,0, CorPosLog,32.798275, CorNegLog,0.000000, D,0.467913,
 s,3478, t,0.00277, Cor,15505007937, PosCor,15505007937, NegCor,0, CorPosLog,33.852013, CorNegLog,0.000000, D,0.471457,
 s,3479, t,0.00279, Cor,13863931446, PosCor,13863931446, NegCor,0, CorPosLog,33.690617, CorNegLog,0.000000, D,0.475002,
 s,3480, t,0.00281, Cor,4638116685, PosCor,4638116685, NegCor,0, CorPosLog,32.110893, CorNegLog,0.000000, D,0.478547,
 s,3481, t,0.00283, Cor,-5351728777, PosCor,0, NegCor,5351728777, CorPosLog,0.000000, CorNegLog,32.317360, D,0.482091,
 s,3482, t,0.00285, Cor,-9788248392, PosCor,0, NegCor,9788248392, CorPosLog,0.000000, CorNegLog,33.188404, D,0.485637,
 s,3483, t,0.00288, Cor,-7268335267, PosCor,0, NegCor,7268335267, CorPosLog,0.000000, CorNegLog,32.758976, D,0.489182,
 s,3484, t,0.00290, Cor,-1578690026, PosCor,0, NegCor,1578690026, CorPosLog,0.000000, CorNegLog,30.556080, D,0.492726,
 s,3485, t,0.00292, Cor,1778088517, PosCor,1778088517, NegCor,0, CorPosLog,30.727680, CorNegLog,0.000000, D,0.496271,
 s,3486, t,0.00294, Cor,399779672, PosCor,399779672, NegCor,0, CorPosLog,28.574631, CorNegLog,0.000000, D,0.499815,
 s,3487, t,0.00296, Cor,-3006220762, PosCor,0, NegCor,3006220762, CorPosLog,0.000000, CorNegLog,31.485304, D,0.503361,
