 s,3346, t,0.00002, Cor,52293217657, PosCor,52293217657, NegCor,0, CorPosLog,35.605904, CorNegLog,0.000000, D,0.003545,
 s,3347, t,0.00004, Cor,3197061859, PosCor,3197061859, NegCor,0, CorPosLog,31.574099, CorNegLog,0.000000, D,0.007090,
 s,3348, t,0.00006, Cor,-49281337637, PosCor,0, NegCor,49281337637, CorPosLog,0.000000, CorNegLog,35.520321, D,0.010633,
 s,3349, t,0.00008, Cor,-69071322454, PosCor,0, NegCor,69071322454, CorPosLog,0.000000, CorNegLog,36.007366, D,0.014180,
 s,3350, t,0.00010, Cor,-42694007422, PosCor,0, NegCor,42694007422, CorPosLog,0.000000, CorNegLog,35.313313, D,0.017724,
 s,3351, t,0.00012, Cor,10253828101, PosCor,10253828101, NegCor,0, CorPosLog,33.255444, CorNegLog,0.000000, D,0.021269,
 s,3352, t,0.00015, Cor,51421408830, PosCor,51421408830, NegCor,0, CorPosLog,35.581650, CorNegLog,0.000000, D,0.024814,
 s,3353, t,0.00017, Cor,52285149815, PosCor,52285149815, NegCor,0, CorPosLog,35.605682, CorNegLog,0.000000, D,0.028358,
 s,3354, t,0.00019, Cor,15309972053, PosCor,15309972053, NegCor,0, CorPosLog,33.833752, CorNegLog,0.000000, D,0.031903,
 s,3355, t,0.00021, Cor,-29089819589, PosCor,0, NegCor,29089819589, CorPosLog,0.000000, CorNegLog,34.759796, D,0.035448,
 s,3356, t,0.00023, Cor,-46516217173, PosCor,0, NegCor,46516217173, CorPosLog,0.000000, CorNegLog,35.437016, D,0.038993,
 s,3357, t,0.00025, Cor,-25431823349, PosCor,0, NegCor,25431823349, CorPosLog,0.000000, CorNegLog,34.565914, D,0.042538,
 s,3358, t,0.00027, Cor,14930101311, PosCor,14930101311, NegCor,0, CorPosLog,33.797504, CorNegLog,0.000000, D,0.046082,
 s,3359, t,0.00029, Cor,40678772897, PosCor,40678772897, NegCor,0, CorPosLog,35.243557, CorNegLog,0.000000, D,0.049627,
 s,3360, t,0.00031, Cor,30827523178, PosCor,30827523178, NegCor,0, CorPosLog,34.843502, CorNegLog,0.000000, D,0.053172,
 s,3361, t,0.00033, Cor,-5959562132, PosCor,0, NegCor,5959562132, CorPosLog,0.000000, CorNegLog,32.472557, D,0.056717,
 s,3362, t,0.00035, Cor,-38851241769, PosCor,0, NegCor,38851241769, CorPosLog,0.000000, CorNegLog,35.177242, D,0.060261,
 s,3363, t,0.00037, Cor,-39972821752, PosCor,0, NegCor,39972821752, CorPosLog,0.000000, CorNegLog,35.218300, D,0.063806,
 s,3364, t,0.00040, Cor,-6975440342, PosCor,0, NegCor,6975440342, CorPosLog,0.000000, CorNegLog,32.699635, D,0.067351,
 s,3365, t,0.00042, Cor,34607382389, PosCor,34607382389, NegCor,0, CorPosLog,35.010361, CorNegLog,0.000000, D,0.070896,
 s,3366, t,0.00044, Cor,51523068215, PosCor,51523068215, NegCor,0, CorPosLog,35.584499, CorNegLog,0.000000, D,0.074441,
 s,3367, t,0.00046, Cor,29363254332, PosCor,29363254332, NegCor,0, CorPosLog,34.773293, CorNegLog,0.000000, D,0.077985,
 s,3368, t,0.00048, Cor,-15731033945, PosCor,0, NegCor,15731033945, CorPosLog,0.000000, CorNegLog,33.872894, D,0.081530,
 s,3369, t,0.00050, Cor,-49427468678, PosCor,0, NegCor,49427468678, CorPosLog,0.000000, CorNegLog,35.524593, D,0.085075,
 s,3370, t,0.00052, Cor,-45785950777, PosCor,0, NegCor,45785950777, CorPosLog,0.000000, CorNegLog,35.414185, D,0.088620,
 s,3371, t,0.00054, Cor,-7508831038, PosCor,0, NegCor,7508831038, CorPosLog,0.000000, CorNegLog,32.805943, D,0.092165,
 s,3372, t,0.00056, Cor,36088528663, PosCor,36088528663, NegCor,0, CorPosLog,35.070820, CorNegLog,0.000000, D,0.095709,
