 s,3390, t,0.00094, Cor,-23085567778, PosCor,0, NegCor,23085567778, CorPosLog,0.000000, CorNegLog,34.426273, D,0.159515,
 s,3391, t,0.00096, Cor,-29995761482, PosCor,0, NegCor,29995761482, CorPosLog,0.000000, CorNegLog,34.804039, D,0.163060,
 s,3392, t,0.00098, Cor,-16011289114, PosCor,0, NegCor,16011289114, CorPosLog,0.000000, CorNegLog,33.898369, D,0.166605,
 s,3393, t,0.00100, Cor,3658390395, PosCor,3658390395, NegCor,0, CorPosLog,31.768560, CorNegLog,0.000000, D,0.170151,
 s,3394, t,0.00102, Cor,13086195750, PosCor,13086195750, NegCor,0, CorPosLog,33.607327, CorNegLog,0.000000, D,0.173696,
 s,3395, t,0.00104, Cor,8283223824, PosCor,8283223824, NegCor,0, CorPosLog,32.947544, CorNegLog,0.000000, D,0.177239,
 s,3396, t,0.00106, Cor,-1656359629, PosCor,0, NegCor,1656359629, CorPosLog,0.000000, CorNegLog,30.625368, D,0.180784,
 s,3397, t,0.00108, Cor,-4653961603, PosCor,0, NegCor,4653961603, CorPosLog,0.000000, CorNegLog,32.115810, D,0.184329,
 s,3398, t,0.00110, Cor,2696060974, PosCor,2696060974, NegCor,0, CorPosLog,31.328205, CorNegLog,0.000000, D,0.187875,
 s,3399, t,0.00113, Cor,12307909934, PosCor,12307909934, NegCor,0, CorPosLog,33.518864, CorNegLog,0.000000, D,0.191420,
 s,3400, t,0.00115, Cor,12655278797, PosCor,12655278797, NegCor,0, CorPosLog,33.559021, CorNegLog,0.000000, D,0.194963,
 s,3401, t,0.00117, Cor,72992618, PosCor,72992618, NegCor,0, CorPosLog,26.121248, CorNegLog,0.000000, D,0.198508,
 s,3402, t,0.00119, Cor,-16897394880, PosCor,0, NegCor,16897394880, CorPosLog,0.000000, CorNegLog,33.976082, D,0.202053,
 s,3403, t,0.00121, Cor,-24142174994, PosCor,0, NegCor,24142174994, CorPosLog,0.000000, CorNegLog,34.490837, D,0.205599,
 s,3404, t,0.00123, Cor,-14077427111, PosCor,0, NegCor,14077427111, CorPosLog,0.000000, CorNegLog,33.712666, D,0.209143,
 s,3405, t,0.00125, Cor,7248681030, PosCor,7248681030, NegCor,0, CorPosLog,32.755074, CorNegLog,0.000000, D,0.212687,
 s,3406, t,0.00127, Cor,24332369484, PosCor,24332369484, NegCor,0, CorPosLog,34.502159, CorNegLog,0.000000, D,0.216232,
 s,3407, t,0.00129, Cor,24345001875, PosCor,24345001875, NegCor,0, CorPosLog,34.502907, CorNegLog,0.000000, D,0.219777,
 s,3408, t,0.00131, Cor,7489171633, PosCor,7489171633, NegCor,0, CorPosLog,32.802158, CorNegLog,0.000000, D,0.223323,
 s,3409, t,0.00133, Cor,-13202417766, PosCor,0, NegCor,13202417766, CorPosLog,0.000000, CorNegLog,33.620083, D,0.226867,
 s,3410, t,0.00135, Cor,-22383890292, PosCor,0, NegCor,22383890292, CorPosLog,0.000000, CorNegLog,34.381741, D,0.230412,
 s,3411, t,0.00137, Cor,-14300022932, PosCor,0, NegCor,14300022932, CorPosLog,0.000000, CorNegLog,33.735298, D,0.233956,
 s,3412, t,0.00140, Cor,3211762314, PosCor,3211762314, NegCor,0, CorPosLog,31.580717, CorNegLog,0.000000, D,0.237500,
 s,3413, t,0.00142, Cor,15645666779, PosCor,15645666779, NegCor,0, CorPosLog,33.865044, CorNegLog,0.000000, D,0.241047,
 s,3414, t,0.00144, Cor,13585528208, PosCor,13585528208, NegCor,0, CorPosLog,33.661354, CorNegLog,0.000000, D,0.244591,
 s,3415, t,0.00146, Cor,-143857024, PosCor,0, NegCor,143857024, CorPosLog,0.000000, CorNegLog,27.100060, D,0.248136,
 s,3416, t,0.00148, Cor,-13470108957, PosCor,0, NegCor,13470108957, CorPosLog,0.000000, CorNegLog,33.649040, D,0.251680,
 s,3417, t,0.00150, Cor,-15267041636, PosCor,0, NegCor,15267041636, CorPosLog,0.000000, CorNegLog,33.829700, D,0.255224,
 s,3418, t,0.00152, Cor,-4123980955, PosCor,0, NegCor,4123980955, CorPosLog,0.000000, CorNegLog,31.941391, D,0.258770,
 s,3419, t,0.00154, Cor,11074525234, PosCor,11074525234, NegCor,0, CorPosLog,33.366524, CorNegLog,0.000000, D,0.262315,
 s,3420, t,0.00156, Cor,18685401998, PosCor,18685401998, NegCor,0, CorPosLog,34.121193, CorNegLog,0.000000, D,0.265860,
 s,3421, t,0.00158, Cor,13107906574, PosCor,13107906574, NegCor,0, CorPosLog,33.609718, CorNegLog,0.000000, D,0.269404,
 s,3422, t,0.00160, Cor,-1251468402, PosCor,0, NegCor,1251468402, CorPosLog,0.000000, CorNegLog,30.220976, D,0.272948,
 s,3423, t,0.00163, Cor,-14182746205, PosCor,0, NegCor,14182746205, CorPosLog,0.000000, CorNegLog,33.723419, D,0.276494,
 s,3424, t,0.00165, Cor,-17635438895, PosCor,0, NegCor,17635438895, CorPosLog,0.000000, CorNegLog,34.037758, D,0.280039,
 s,3425, t,0.00167, Cor,-10953368856, PosCor,0, NegCor,10953368856, CorPosLog,0.000000, CorNegLog,33.350655, D,0.283584,
 s,3426, t,0.00169, Cor,102665051, PosCor,102665051, NegCor,0, CorPosLog,26.613369, CorNegLog,0.000000, D,0.287127,
 s,3427, t,0.00171, Cor,8724256208, PosCor,8724256208, NegCor,0, CorPosLog,33.022385, CorNegLog,0.000000, D,0.290672,
 s,3428, t,0.00173, Cor,11506852215, PosCor,11506852215, NegCor,0, CorPosLog,33.421772, CorNegLog,0.000000, D,0.294218,
 s,3429, t,0.00175, Cor,9651041805, PosCor,9651041805, NegCor,0, CorPosLog,33.168037, CorNegLog,0.000000, D,0.297763,
 s,3430, t,0.00177, Cor,5964665208, PosCor,5964665208, NegCor,0, CorPosLog,32.473793, CorNegLog,0.000000, D,0.301308,
 s,3431, t,0.00179, Cor,1758536744, PosCor,1758536744, NegCor,0, CorPosLog,30.711729, CorNegLog,0.000000, D,0.304852,
